MD,BHL,BHU,HSS,UCHO,UCHA,UCTO,UCTA,CCHO,CCHA,CCTO,CCTA,CHO,CHA,CTO,CTA
1212_1213_1215,100,150,150,17_805,8_1075,36_405,17_555,17_1165,8_1295,28_850,13_1200,15_3340,8_4985,15_1670,8_2500
1212_1213_1215,150,200,160,17_745,8_935,36_345,17_470,28_915,13_1130,28_785,13_1110,15_1795,8_2680,15_1485,8_2215
1108_1109_1115_1117_1118_1120_1126_1211,100,150,130,17_730,8_990,36_300,17_430,17_1090,8_1410,28_780,13_1105,15_1610,8_2780,15_1345,8_2005
1108_1109_1115_1117_1118_1120_1126_1211,150,200,120,17_730,8_990,36_300,17_430,17_1090,8_1410,28_780,13_1105,15_1610,8_2780,15_1345,8_2005
1132_1137_1139_1140_1144_1146_1151,175,225,120,17_615,8_815,36_300,17_405,17_865,8_960,28_755,13_960,13_1400,7_1965,13_1170,7_1640
1132_1137_1139_1140_1144_1146_1151,275,325,75,17_515,8_685,36_235,17_340,17_720,8_805,28_650,13_810,10_1430,5_1745,10_1070,5_1305
1132_1137_1139_1140_1144_1146_1151,325,375,50,17_515,8_685,36_235,17_340,17_720,8_805,28_650,13_810,10_1430,5_1745,10_1070,5_1305
1132_1137_1139_1140_1144_1146_1151,375,435,40,17_515,8_685,36_235,17_340,17_720,8_805,28_650,13_810,10_1430,5_1745,10_1070,5_1305
11L17_11L18_12L13_12L14,100,150,140,17_745,8_935,36_345,17_470,28_915,13_1130,28_785,13_1110,15_1795,8_2680,15_1485,8_2215
11L17_11L18_12L13_12L14,150,200,145,17_745,8_935,36_345,17_470,28_915,13_1130,28_785,13_1110,15_1795,8_2680,15_1485,8_2215
11L17_11L18_12L13_12L14,200,250,110,17_615,8_815,36_300,17_405,17_865,8_960,28_755,13_960,13_1400,7_1965,13_1170,7_1640
1006_1008_1009_1010_1012_1015_1016_1017_1018_1019_1020_1021_1022_1023_1024_1025_1026_1513_1514,100,125,120,17_805,8_1075,36_405,17_555,17_1165,8_1295,28_850,13_1200,15_3340,8_4895,15_1670,8_2500
1006_1008_1009_1010_1012_1015_1016_1017_1018_1019_1020_1021_1022_1023_1024_1025_1026_1513_1514,125,175,110,17_745,8_935,36_345,17_470,28_915,13_1130,28_785,13_1110,15_1795,8_2680,15_1485,8_2215
1006_1008_1009_1010_1012_1015_1016_1017_1018_1019_1020_1021_1022_1023_1024_1025_1026_1513_1514,175,225,90,17_615,8_815,36_300,17_405,17_865,8_960,28_755,13_960,13_1400,7_1965,13_1170,7_1640
1006_1008_1009_1010_1012_1015_1016_1017_1018_1019_1020_1021_1022_1023_1024_1025_1026_1513_1514,225,275,70,17_615,8_815,36_300,17_405,17_865,8_960,28_755,13_960,13_1400,7_1965,13_1170,7_1640
1027_1030_1033_1035_1036_1037_1038_1039_1040_1041_1042_1043_1045_1046_1048_1049_1050_1052_1524_1526_1527_1541,125,175,100,17_745,8_935,36_345,17_470,28_915,13_1130,28_785,13_1110,15_1795,8_2680,15_1485,8_2215
1027_1030_1033_1035_1036_1037_1038_1039_1040_1041_1042_1043_1045_1046_1048_1049_1050_1052_1524_1526_1527_1541,175,225,85,17_615,8_815,36_300,17_405,17_865,8_960,28_755,13_960,13_1400,7_1965,13_1170,7_1640
1027_1030_1033_1035_1036_1037_1038_1039_1040_1041_1042_1043_1045_1046_1048_1049_1050_1052_1524_1526_1527_1541,225,275,70,17_615,8_815,36_300,17_405,17_865,8_960,28_755,13_960,13_1400,7_1965,13_1170,7_1640
1027_1030_1033_1035_1036_1037_1038_1039_1040_1041_1042_1043_1045_1046_1048_1049_1050_1052_1524_1526_1527_1541,275,325,60,17_515,8_685,36_235,17_340,17_720,8_805,28_650,13_810,10_1430,5_1745,10_1070,5_1305
1027_1030_1033_1035_1036_1037_1038_1039_1040_1041_1042_1043_1045_1046_1048_1049_1050_1052_1524_1526_1527_1541,325,375,40,17_515,8_685,36_235,17_340,17_720,8_805,28_650,13_810,10_1430,5_1745,10_1070,5_1305
1027_1030_1033_1035_1036_1037_1038_1039_1040_1041_1042_1043_1045_1046_1048_1049_1050_1052_1524_1526_1527_1541,375,425,30,17_515,8_685,36_235,17_340,17_720,8_805,28_650,13_810,10_1430,5_1745,10_1070,5_1305
1055_1060_1064_1065_1070_1074_1078_1080_1084_1086_1090_1095_1548_1551_1552_1561_1566,125,175,100,17_730,8_990,36_300,17_430,17_1090,8_1410,28_780,13_1105,15_1610,8_2780,15_1345,8_2005
1055_1060_1064_1065_1070_1074_1078_1080_1084_1086_1090_1095_1548_1551_1552_1561_1566,175,225,80,17_730,8_990,36_300,17_430,17_1090,8_1410,28_780,13_1105,15_1610,8_2780,15_1345,8_2005
1055_1060_1064_1065_1070_1074_1078_1080_1084_1086_1090_1095_1548_1551_1552_1561_1566,225,275,65,17_615,8_815,36_300,17_405,17_865,8_960,28_755,13_960,13_1400,7_1965,13_1170,7_1640
1055_1060_1064_1065_1070_1074_1078_1080_1084_1086_1090_1095_1548_1551_1552_1561_1566,275,325,50,17_515,8_685,36_235,17_340,17_720,8_805,28_650,13_810,10_1430,5_1745,10_1070,5_1305
1055_1060_1064_1065_1070_1074_1078_1080_1084_1086_1090_1095_1548_1551_1552_1561_1566,325,375,35,17_515,8_685,36_235,17_340,17_720,8_805,28_650,13_810,10_1430,5_1745,10_1070,5_1305
1055_1060_1064_1065_1070_1074_1078_1080_1084_1086_1090_1095_1548_1551_1552_1561_1566,375,425,30,17_515,8_685,36_235,17_340,17_720,8_805,28_650,13_810,10_1430,5_1745,10_1070,5_1305
4140_4150,175,200,110,17_525,8_705,36_235,17_320,17_505,8_525,28_685,13_960,15_1490,8_2220,15_1190,8_1780
4140_4150,200,250,90,17_525,8_705,36_235,17_320,17_505,8_525,28_685,13_960,15_1490,8_2220,15_1190,8_1780
4140_4150,250,300,65,17_355,8_445,36_140,17_200,17_630,8_850,28_455,13_650,10_1230,5_1510,10_990,5_1210
4140_4150,300,375,50,17_330,8_440,36_125,17_175,17_585,8_790,28_125,13_220,8_1200,4_1320,8_960,4_1060
4140_4150,375,425,40,17_330,8_440,36_125,17_175,17_585,8_790,28_125,13_220,8_1200,4_1320,8_960,4_1060
41L30_41L40_41L47_41L50_43L47_51L32_52L100_86L20_86L40,150,200,120,17_730,8_990,36_300,17_430,17_1090,8_1410,28_780,13_1105,15_1610,8_2780,15_1345,8_2005
41L30_41L40_41L47_41L50_43L47_51L32_52L100_86L20_86L40,200,250,100,17_615,8_815,36_300,17_405,17_865,8_960,28_755,13_960,13_1400,7_1965,13_1170,7_1640
41L30_41L40_41L47_41L50_43L47_51L32_52L100_86L20_86L40,250,300,75,17_515,8_685,36_235,17_340,17_720,8_805,28_650,13_810,10_1430,5_1745,10_1070,5_1305
41L30_41L40_41L47_41L50_43L47_51L32_52L100_86L20_86L40,300,375,55,17_515,8_685,36_235,17_340,17_720,8_805,28_650,13_810,10_1430,5_1745,10_1070,5_1305
41L30_41L40_41L47_41L50_43L47_51L32_52L100_86L20_86L40,375,425,50,17_515,8_685,36_235,17_340,17_720,8_805,28_650,13_810,10_1430,5_1745,10_1070,5_1305
4012_4023_4024_4028_4118_4320_4419_4422_4427_4615_4620_4621_4626_4718_4720_4815_4817_4820_5015_5117_5120_6118_8115_8615_8617_8620_8622_8625_8627_8720_8822_94B17,125,175,100,,,,,,,,,,,,
4012_4023_4024_4028_4118_4320_4419_4422_4427_4615_4620_4621_4626_4718_4720_4815_4817_4820_5015_5117_5120_6118_8115_8615_8617_8620_8622_8625_8627_8720_8822_94B17,175,225,90,,,,,,,,,,,,
4012_4023_4024_4028_4118_4320_4419_4422_4427_4615_4620_4621_4626_4718_4720_4815_4817_4820_5015_5117_5120_6118_8115_8615_8617_8620_8622_8625_8627_8720_8822_94B17,225,275,70,,,,,,,,,,,,
4012_4023_4024_4028_4118_4320_4419_4422_4427_4615_4620_4621_4626_4718_4720_4815_4817_4820_5015_5117_5120_6118_8115_8615_8617_8620_8622_8625_8627_8720_8822_94B17,275,325,60,,,,,,,,,,,,
4012_4023_4024_4028_4118_4320_4419_4422_4427_4615_4620_4621_4626_4718_4720_4815_4817_4820_5015_5117_5120_6118_8115_8615_8617_8620_8622_8625_8627_8720_8822_94B17,325,375,50,,,,,,,,,,,,
4012_4023_4024_4028_4118_4320_4419_4422_4427_4615_4620_4621_4626_4718_4720_4815_4817_4820_5015_5117_5120_6118_8115_8615_8617_8620_8622_8625_8627_8720_8822_94B17,375,425,30,,,,,,,,,,,,
,175,225,85,,,,,,,,,,,,
,225,275,70,,,,,,,,,,,,
,275,325,60,,,,,,,,,,,,
,325,375,40,,,,,,,,,,,,
,375,435,30,,,,,,,,,,,,
,220,300,65,,,,,,,,,,,,
,300,350,50,,,,,,,,,,,,
,350,400,35,,,,,,,,,,,,
,400,460,25,,,,,,,,,,,,
,460,500,10,,,,,,,,,,,,
,250,325,60,,,,,,,,,,,,
,470,500,10,,,,,,,,,,,,
,200,250,70,,,,,,,,,,,,
,300,350,30,,,,,,,,,,,,
