,RVAVO,RVAVO,RVAVO,RVAVO,RVAVO,RVAVO,RVAVO,DOCLA,DOCLA,DOCLA,DOCLA,DOCLA,DOCLA,DOCLA,DOCLA,DOCLA,DOCLA
,1,1.1,1.25,1.35,1.5,1.75,2,1_15,1_45,0.4_15,0.4_45,0.2_15,0.4_45,0.1_15,0.1_45,0.04_15,0.04_45
1.00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.74,1.0,0.79,1.03,0.85,1.08,1.0,1.18,1.29,1.35
0.90,1.00,1.02,1.05,1.07,1.09,1.10,1.12,0.75,1.0,0.80,1.03,0.86,1.08,1.0,1.17,1.27,1.34
0.80,1.00,1.03,1.09,1.10,1.15,1.20,1.25,0.77,1.0,0.81,1.03,0.87,1.07,1.0,1.15,1.25,1.31
0.70,1.00,1.05,1.13,1.22,1.22,1.32,1.43,0.77,1.0,0.82,1.03,0.87,1.08,1.0,1.15,1.24,1.30
0.60,1.00,1.08,1.20,1.25,1.35,1.50,1.66,0.78,1.0,0.82,1.03,0.88,1.07,1.0,1.14,1.23,1.29
0.50,1.00,1.10,1.25,1.35,1.50,1.75,2.00,0.78,1.0,0.82,1.03,0.88,1.07,1.0,1.14,1.23,1.28
0.40,1.00,1.09,1.28,1.44,1.66,2.03,2.43,0.78,1.0,0.84,1.03,0.89,1.06,1.0,1.13,1.21,1.26
0.30,1.00,1.06,1.32,1.52,1.85,2.42,3.05,0.81,1.0,0.85,1.02,0.90,1.06,1.0,1.12,1.18,1.23
0.20,1.00,1.00,1.34,1.60,2.07,2.96,4.03,0.84,1.0,0.89,1.02,0.91,1.05,1.0,1.10,1.15,1.19
0.10,1.00,0.80,1.20,1.55,2.24,3.74,5.84,0.88,1.0,0.91,1.01,0.92,1.03,1.0,1.06,1.10,1.12